"filename", "language", "JSON", "YAML", "Ignore", "JavaScript", "Markdown", "HTML", "XML", "JavaScript React", "Dockerfile", "C#", "Shell Script", "SCSS", "SQL", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\README.md", "Markdown", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 112
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\bitbucket-pipelines.yml", "YAML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 48
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\book-library-api\.dockerignore", "Ignore", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\book-library-api\BookLibrary.DTO\BookLibrary.DTO.csproj", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\book-library-api\BookLibrary.DTO\Books\AddBookDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\book-library-api\BookLibrary.DTO\Books\BookDetailsDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\book-library-api\BookLibrary.DTO\Books\BookListDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\book-library-api\BookLibrary.DTO\Books\LibraryDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\book-library-api\BookLibrary.DTO\Books\RatingResponseDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Desktop\Devbridge\Projektas\sourcery-academy-2020-spring-team-edvinas\book-library-api\BookLibrary.DTO\Comments\CommentCreateDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
